lon,lat,species
109.15,12.18,1
109.15,12.18,1
109.15,12.18,1
107.5,11.1,1
107.5,11.1,1
107.5,11.1,1
107.5,11.1,1
107.42,11.42,1
107.42,11.42,1
107.42,11.42,1
107.42,11.42,1
107.5,11.1,1
109.12,12.48,1
109.12,12.48,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.35,12.93,1
109.35,12.93,1
109.18,13,1
109.18,13,1
109.18,13,1
109.18,13,1
109.18,13,1
109.1,13.87,1
109.1,13.87,1
109.1,13.87,1
109.18,13,1
108.5,12.8,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
108.5,12.8,1
108.5,12.8,1
108.43,12.8,1
108.43,12.8,1
108.43,12.8,1
109.1,12.25,1
109.1,12.25,1
107.9,11.33,1
108.32,11.62,1
108.32,11.62,1
108.32,11.62,1
108.32,11.62,1
